iter	Passed	Remaining
617	2041	1262
618	2046	1259
619	2050	1256
620	2053	1253
621	2057	1250
622	2061	1247
623	2065	1244
624	2068	1241
625	2071	1237
626	2074	1233
627	2078	1230
628	2081	1227
629	2084	1224
630	2088	1221
631	2092	1218
632	2095	1215
633	2099	1212
634	2102	1208
635	2105	1205
636	2108	1201
637	2111	1198
638	2115	1195
639	2119	1192
640	2123	1189
641	2126	1185
642	2130	1182
643	2133	1179
644	2136	1175
645	2140	1172
646	2144	1169
647	2147	1166
648	2151	1163
649	2155	1160
650	2159	1157
651	2163	1154
652	2167	1151
653	2170	1148
654	2174	1145
655	2178	1142
656	2184	1140
657	2187	1137
658	2193	1135
659	2198	1132
660	2204	1130
661	2209	1127
662	2214	1125
663	2219	1122
664	2223	1119
665	2226	1116
666	2230	1113
667	2235	1111
668	2239	1107
669	2243	1105
670	2247	1102
671	2252	1099
672	2257	1096
673	2261	1094
674	2266	1091
675	2270	1088
676	2274	1085
677	2278	1082
678	2282	1078
679	2285	1075
680	2288	1072
681	2292	1068
682	2295	1065
683	2298	1061
684	2301	1058
685	2304	1054
686	2307	1051
687	2311	1048
688	2314	1044
689	2317	1041
690	2320	1037
691	2323	1034
692	2326	1030
693	2330	1027
694	2333	1024
695	2337	1020
696	2340	1017
697	2344	1014
698	2348	1011
699	2351	1007
700	2355	1004
701	2358	1001
702	2362	998
703	2366	995
704	2369	991
705	2373	988
706	2376	985
707	2380	981
708	2383	978
709	2387	975
710	2390	971
711	2393	968
712	2396	964
713	2400	961
714	2404	958
715	2407	955
716	2411	951
717	2414	948
718	2417	944
719	2420	941
720	2423	937
721	2426	934
722	2430	931
723	2434	928
724	2439	925
725	2443	922
726	2446	918
727	2451	915
728	2454	912
729	2459	909
730	2463	906
731	2466	903
732	2470	899
733	2473	896
734	2476	892
735	2480	889
736	2483	886
737	2487	882
738	2490	879
739	2493	876
740	2496	872
741	2500	869
742	2503	866
743	2506	862
744	2509	859
745	2512	855
746	2515	852
747	2519	848
748	2522	845
749	2525	841
750	2529	838
751	2532	835
752	2535	831
753	2538	828
754	2541	824
755	2544	821
756	2548	818
757	2551	814
758	2555	811
759	2559	808
760	2563	805
761	2566	801
762	2569	798
763	2573	795
764	2577	791
765	2580	788
766	2584	785
767	2588	781
768	2590	778
769	2593	774
770	2597	771
771	2601	768
772	2604	764
773	2608	761
774	2611	758
775	2615	754
776	2619	751
777	2622	748
778	2625	744
779	2629	741
780	2634	738
781	2638	735
782	2642	732
783	2646	729
784	2651	726
785	2656	723
786	2659	719
787	2663	716
788	2666	713
789	2669	709
790	2673	706
791	2676	702
792	2679	699
793	2682	696
794	2686	692
795	2689	689
796	2693	685
797	2696	682
798	2699	679
799	2703	675
800	2706	672
801	2709	668
802	2712	665
803	2716	662
804	2719	658
805	2723	655
806	2726	652
807	2730	648
808	2734	645
809	2737	642
810	2741	638
811	2744	635
812	2748	632
813	2751	628
814	2754	625
815	2757	621
816	2760	618
817	2764	615
818	2768	611
819	2771	608
820	2775	605
821	2778	601
822	2782	598
823	2785	594
824	2789	591
825	2793	588
826	2796	585
827	2799	581
828	2803	578
829	2806	574
830	2810	571
831	2814	568
832	2818	564
833	2822	561
834	2827	558
835	2832	555
836	2837	552
837	2842	549
838	2846	546
839	2851	543
840	2855	539
841	2860	536
842	2865	533
843	2869	530
844	2872	526
845	2876	523
846	2880	520
847	2883	516
848	2887	513
849	2891	510
850	2894	506
851	2898	503
852	2902	500
853	2905	496
854	2908	493
855	2912	489
856	2915	486
857	2919	483
858	2923	479
859	2926	476
860	2930	473
861	2933	469
862	2936	466
863	2940	462
864	2944	459
865	2947	456
866	2951	452
867	2955	449
868	2958	445
869	2961	442
870	2965	439
871	2968	435
872	2972	432
873	2976	429
874	2979	425
875	2982	422
876	2986	418
877	2989	415
878	2993	412
879	2996	408
880	3000	405
881	3003	401
882	3006	398
883	3010	395
884	3014	391
885	3017	388
886	3020	384
887	3023	381
888	3027	378
889	3031	374
890	3034	371
891	3038	367
892	3044	364
893	3049	361
894	3053	358
895	3057	354
896	3061	351
897	3065	348
898	3069	344
899	3072	341
900	3076	338
901	3079	334
902	3082	331
903	3086	327
904	3090	324
905	3093	320
906	3096	317
907	3100	314
908	3104	310
909	3107	307
910	3110	303
911	3114	300
912	3118	297
913	3121	293
914	3124	290
915	3127	286
916	3131	283
917	3134	280
918	3137	276
919	3141	273
920	3144	269
921	3148	266
922	3152	262
923	3155	259
924	3158	256
925	3161	252
926	3165	249
927	3168	245
928	3171	242
929	3174	238
930	3178	235
931	3182	232
932	3186	228
933	3190	225
934	3193	222
935	3197	218
936	3200	215
937	3202	211
938	3206	208
939	3209	204
940	3213	201
941	3216	198
942	3220	194
943	3224	191
944	3227	187
945	3231	184
946	3235	181
947	3239	177
948	3243	174
949	3247	170
950	3250	167
951	3254	164
952	3257	160
953	3261	157
954	3264	153
955	3267	150
956	3271	146
957	3274	143
958	3277	140
959	3281	136
960	3284	133
961	3287	129
962	3290	126
963	3294	123
964	3297	119
965	3300	116
966	3304	112
967	3307	109
968	3311	105
969	3314	102
970	3318	99
971	3323	95
972	3327	92
973	3331	88
974	3334	85
975	3338	82
976	3341	78
977	3345	75
978	3348	71
979	3352	68
980	3355	64
981	3359	61
982	3362	58
983	3366	54
984	3369	51
985	3372	47
986	3375	44
987	3379	41
988	3382	37
989	3385	34
990	3388	30
991	3391	27
992	3394	23
993	3397	20
994	3400	17
995	3403	13
996	3406	10
997	3410	6
998	3414	3
999	3418	0
